=== Starting Experiment 1 of 10 ===
1,1,701,510,511
1,1,1704,510,512
1,0,2706,512,510
1,0,3709,512,510
1,0,4711,510,509
1,0,5714,510,509
1,0,6716,510,510
1,0,7719,510,510
1,0,8721,510,509
1,0,9724,510,509
1,0,10726,510,510
1,0,11729,510,510
1,0,12731,510,508
1,0,13735,510,508
1,0,14737,510,509
1,0,15740,510,509
1,0,16742,510,508
1,0,17745,510,508
1,0,18747,510,510
1,0,19750,510,509
1,0,20752,510,508
1,0,21755,510,508
1,0,22757,510,509
1,0,23760,510,509
1,0,24762,510,508
1,0,25765,508,506
1,0,26767,508,507
1,0,27770,508,508
1,0,28773,508,508
1,0,29776,508,507
1,0,30778,508,508
1,0,31781,508,509
=== Experiment 1 of 10 Completed ===
PRIMING 508
PRIME WAITING
PRIMING 510
PRIME WAITING
PRIMING 516
PRIME WAITING
PRIME DOWN 519
=== Starting Experiment 2 of 10 ===
2,1,602,510,511
2,1,1604,512,514
2,1,2607,514,515
2,1,3609,514,514
2,0,4612,512,510
2,0,5614,512,512
2,0,6617,512,511
2,0,7619,512,510
2,0,8622,510,509
2,0,9624,510,510
2,0,10627,510,511
2,0,11629,510,511
2,0,12632,510,509
2,0,13634,510,509
2,0,14637,510,510
2,0,15639,510,511
2,0,16642,510,510
2,0,17645,510,509
2,0,18648,510,509
2,0,19650,510,510
2,0,20653,510,511
2,0,21655,510,509
2,0,22658,510,508
2,0,23660,510,510
2,0,24663,510,511
2,0,25665,512,511
2,0,26668,512,512
2,0,27670,512,512
2,0,28672,512,512
2,0,29675,512,512
2,0,30677,512,511
2,0,31680,512,511
2,0,32684,512,512
2,0,33686,512,511
2,0,34688,512,510
2,0,35691,512,510
2,0,36693,512,512
2,0,37696,512,513
2,0,38698,512,514
2,0,39701,512,512
2,0,40703,512,513
2,0,41706,512,514
2,0,42708,512,514
2,0,43711,514,513
2,0,44713,514,513
2,0,45716,514,514
2,0,46718,514,514
2,0,47721,514,514
2,0,48723,514,513
2,0,49727,514,512
2,0,50729,514,512
2,0,51732,514,512
2,0,52734,514,511
2,0,53737,512,511
2,0,54739,512,512
2,0,55742,512,513
2,0,56744,512,513
2,0,57747,512,511
2,0,58749,512,511
2,0,59752,512,512
2,0,60754,512,512
2,0,61757,512,511
2,0,62759,512,511
2,0,63762,512,511
2,0,64764,512,512
2,0,65767,512,513
2,0,66770,512,511
2,0,67773,512,511
2,0,68775,512,512
2,0,69778,512,512
2,0,70780,512,511
2,0,71783,512,510
2,0,72785,512,510
2,0,73788,512,511
2,0,74790,512,511
2,0,75793,512,510
2,0,76795,512,510
2,0,77798,512,511
2,0,78800,512,511
2,0,79803,512,512
2,0,80805,512,510
2,0,81808,512,510
2,0,82810,512,511
2,0,83814,512,511
2,0,84816,512,510
2,0,85819,512,509
2,0,86821,510,510
2,0,87824,510,510
2,0,88826,510,510
2,0,89829,510,509
2,0,90831,510,509
2,0,91834,510,510
2,0,92836,510,510
2,0,93839,510,509
2,0,94841,510,509
2,0,95844,510,510
2,0,96846,510,510
2,0,97849,510,509
2,0,98851,510,508
2,0,99854,510,509
2,0,100856,510,509
2,0,101860,510,508
2,0,102862,510,508
2,0,103865,510,509
2,0,104867,510,510
2,0,105870,510,509
=== Experiment 2 of 10 Completed ===
PRIMING 508
PRIME WAITING
PRIMING 510
PRIME WAITING
PRIMING 513
PRIME WAITING
PRIME DOWN 518
3,0,687232,511,509
=== Starting Experiment 3 of 10 ===
3,1,902,510,512
3,1,1905,512,514
3,1,2907,514,515
3,1,3910,514,513
3,1,4912,514,511
3,1,5915,512,513
3,0,6917,512,511
3,0,7919,512,510
3,0,8922,510,508
3,0,9924,510,508
3,0,10927,510,509
3,0,11929,510,509
3,0,12932,508,507
3,0,13934,508,507
3,0,14937,508,509
3,0,15939,508,509
3,0,16942,508,509
3,0,17945,508,508
3,0,18948,508,508
3,0,19950,509,511
3,0,20953,510,512
3,0,21955,512,512
3,0,22958,512,513
3,0,23960,512,515
3,0,24963,516,517
3,0,25965,516,518
3,0,26968,518,517
3,0,27970,518,518
3,0,28973,518,519
3,0,29975,518,519
3,0,30978,518,519
3,0,31980,518,518
3,0,32983,518,517
3,0,33986,518,518
3,0,34989,518,518
3,0,35991,518,517
3,0,36994,518,516
3,0,37996,518,515
3,0,38999,518,517
3,0,40001,518,517
3,0,41004,518,516
3,0,42006,516,515
3,0,43009,516,516
3,0,44011,516,516
3,0,45014,516,517
3,0,46016,516,515
3,0,47019,516,515
3,0,48021,516,516
3,0,49024,516,516
3,0,50027,516,516
3,0,51030,516,515
3,0,52032,516,515
3,0,53035,516,516
3,0,54037,516,517
3,0,55040,516,515
3,0,56042,516,514
